id,primary_subfield,all_subfields,label,all_subfields_numeric
2,cond-mat.mes-hall,cond-mat.mes-hall,86,86
4,cond-mat.mes-hall,cond-mat.mes-hall,86,86
5,cond-mat.mes-hall,cond-mat.mes-hall cond-mat.supr-con,86,86 10
6,cond-mat.mes-hall,cond-mat.mes-hall physics.bio-ph,86,86 63
8,cond-mat.mes-hall,cond-mat.mes-hall,86,86
10,cond-mat.mes-hall,cond-mat.mes-hall,86,86
13,cond-mat.mes-hall,cond-mat.mes-hall,86,86
14,cond-mat.mes-hall,cond-mat.mes-hall cond-mat.mtrl-sci,86,86 23
16,cond-mat.mes-hall,cond-mat.mes-hall,86,86
17,cond-mat.mes-hall,cond-mat.mes-hall,86,86
18,cond-mat.mes-hall,cond-mat.mes-hall,86,86
22,cond-mat.mes-hall,cond-mat.mes-hall,86,86
23,cond-mat.mes-hall,cond-mat.mes-hall,86,86
24,cond-mat.mes-hall,cond-mat.mes-hall,86,86
28,cond-mat.mes-hall,cond-mat.mes-hall,86,86
29,cond-mat.mes-hall,cond-mat.mes-hall,86,86
30,cond-mat.mes-hall,cond-mat.mes-hall,86,86
31,cond-mat.mes-hall,cond-mat.mes-hall,86,86
32,cond-mat.mes-hall,cond-mat.mes-hall,86,86
33,cond-mat.mes-hall,cond-mat.mes-hall,86,86
34,cond-mat.mes-hall,cond-mat.mes-hall physics.optics,86,86 39
35,cond-mat.mes-hall,cond-mat.mes-hall,86,86
36,cond-mat.mes-hall,cond-mat.mes-hall cond-mat.mtrl-sci,86,86 23
39,cond-mat.mes-hall,cond-mat.mes-hall,86,86
40,cond-mat.mes-hall,cond-mat.mes-hall,86,86
41,cond-mat.mes-hall,cond-mat.mes-hall,86,86
42,cond-mat.mes-hall,cond-mat.mes-hall,86,86
43,cond-mat.mes-hall,cond-mat.mes-hall,86,86
44,cond-mat.mes-hall,cond-mat.mes-hall,86,86
45,cond-mat.mes-hall,cond-mat.mes-hall,86,86
47,cond-mat.mes-hall,cond-mat.mes-hall,86,86
49,cond-mat.mes-hall,cond-mat.mes-hall,86,86
51,cond-mat.mes-hall,cond-mat.mes-hall,86,86
52,cond-mat.mes-hall,cond-mat.mes-hall cond-mat.mtrl-sci cond-mat.str-el,86,86 23 97
53,cond-mat.mes-hall,cond-mat.mes-hall,86,86
55,cond-mat.mes-hall,cond-mat.mes-hall,86,86
56,cond-mat.mes-hall,cond-mat.mes-hall,86,86
59,cond-mat.mes-hall,cond-mat.mes-hall,86,86
60,cond-mat.mes-hall,cond-mat.mes-hall cond-mat.mtrl-sci,86,86 23
61,cond-mat.mes-hall,cond-mat.mes-hall,86,86
62,cond-mat.mes-hall,cond-mat.mes-hall,86,86
64,cond-mat.mes-hall,cond-mat.mes-hall cond-mat.mtrl-sci physics.optics,86,86 23 39
66,cond-mat.mes-hall,cond-mat.mes-hall cond-mat.dis-nn,86,86 26
68,cond-mat.mes-hall,cond-mat.mes-hall cond-mat.mtrl-sci physics.optics,86,86 23 39
69,cond-mat.mes-hall,cond-mat.mes-hall cond-mat.mtrl-sci cond-mat.other cond-mat.supr-con quant-ph,86,86 23 27 10 146
70,cond-mat.mes-hall,cond-mat.mes-hall,86,86
71,cond-mat.mes-hall,cond-mat.mes-hall,86,86
72,cond-mat.mes-hall,cond-mat.mes-hall,86,86
74,cond-mat.mes-hall,cond-mat.mes-hall,86,86
77,cond-mat.mes-hall,cond-mat.mes-hall,86,86
79,cond-mat.mes-hall,cond-mat.mes-hall,86,86
80,cond-mat.mes-hall,cond-mat.mes-hall,86,86
81,cond-mat.mes-hall,cond-mat.mes-hall cond-mat.dis-nn,86,86 26
82,cond-mat.mes-hall,cond-mat.mes-hall cond-mat.soft physics.chem-ph,86,86 125 109
83,cond-mat.mes-hall,cond-mat.mes-hall physics.optics,86,86 39
84,cond-mat.mes-hall,cond-mat.mes-hall quant-ph,86,86 146
85,cond-mat.mes-hall,cond-mat.mes-hall,86,86
86,cond-mat.mes-hall,cond-mat.mes-hall cond-mat.quant-gas,86,86 28
87,cond-mat.mes-hall,cond-mat.mes-hall,86,86
89,cond-mat.mes-hall,cond-mat.mes-hall,86,86
91,cond-mat.mes-hall,cond-mat.mes-hall cond-mat.mtrl-sci,86,86 23
94,cond-mat.mes-hall,cond-mat.mes-hall,86,86
96,cond-mat.mes-hall,cond-mat.mes-hall,86,86
98,cond-mat.mes-hall,cond-mat.mes-hall,86,86
99,cond-mat.mes-hall,cond-mat.mes-hall,86,86
102,cond-mat.mes-hall,cond-mat.mes-hall,86,86
103,cond-mat.mes-hall,cond-mat.mes-hall cond-mat.mtrl-sci,86,86 23
104,cond-mat.mes-hall,cond-mat.mes-hall,86,86
105,cond-mat.mes-hall,cond-mat.mes-hall quant-ph,86,86 146
107,cond-mat.mes-hall,cond-mat.mes-hall,86,86
110,cond-mat.mes-hall,cond-mat.mes-hall physics.optics,86,86 39
112,cond-mat.mes-hall,cond-mat.mes-hall,86,86
